"Bairro";"Sexo";"Data.Nascimento";"Estado.Nasc";"Estado_civil";"Cidade";"Curso_UCSAL";"ESCOLA.DE.Origem";"Classe"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"ITINGA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"SI";"PRIVADA";"E"
"ITINGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"ADS";"PRIVADA";"E"
"ITINGA";"MASCULINO";"Entre 20 a 24 anos";"SP";"SOLTEIRO";"LAURO DE FREITAS";"ADS";"PUBLICA";"E"
"ITINGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"BES";"PUBLICA";"E"
"JARDIM ARMACAO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"JARDIM ARMACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"JARDIM SANTO INACIO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"JOCKEI CLUB";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"CNI"
"LAPINHA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"LAURO DE FREITAS";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"ADS";"PUBLICA";"CNI"
"LIBERDADE";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"LOBATO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MACAUBAS";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MACHADO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"CNI"
"MASSARANDUBA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MASSARANDUBA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MASSARANDUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"MASSARANDUBA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATA ESCURA";"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATA ESCURA";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"MATA ESCURA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATATU";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MONTE SERRAT";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MONTE SERRAT";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MONTE SERRAT";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"MUSSURUNGA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"MUSSURUNGA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MUSSURUNGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"NAZARE";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"NAZARE";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"NORDESTE DE AMARALINA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"NORDESTE DE AMARALINA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"NOVA BRASILIA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"NOVA SUSSUARANA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"NOVO HORIZONTE";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ONDINA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
"PARIPE";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PATAMARES";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"C"
"PAU DA LIMA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PAU DA LIMA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"E"
"PAU DA LIMA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"PEDRA ALTA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"SI";"PUBLICA";"CNI"
"PERIPERI";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"PERNAMBUES";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"PERNAMBUES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PERNAMBUES";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"PERNAMBUES";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PERNAMBUES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"PERNAMBUES";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"PERNAMBUES";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"PERNAMBUES";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"PERNAMBUES";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"PERO VAZ";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PERO VAZ";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"PERO VAZ";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"PIACAVEIRA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"CNI"
"PIATA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"C"
"PIATA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"C"
"PIRAJA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"PIRAJA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PITANGA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"CNI"
"PITANGUEIRAS";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"BES";"PRIVADA";"CNI"
"PITANGUEIRAS";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"BES";"NAO INFORMADO";"CNI"
"PITANGUEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"BES";"PRIVADA";"CNI"
"PITUACU";"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"PITUACU";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"PITUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
"PITUBA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"PITUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
"PITUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"PITUBA";"MASCULINO";"Acima de 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"ADS";"PUBLICA";"C"
"PITUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"C"
"PLATAFORMA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"PLATAFORMA";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"POLITEAMA";"MASCULINO";"Acima de 34 anos";"BA";"DIVORCIADO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"POLITEAMA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"RECANTO DOS PASSAROS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"CNI"
"RIACHINHO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"CNI"
"RIBEIRA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"RIO VERMELHO";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"RIO VERMELHO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
"RIO VERMELHO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"C"
"RIO VERMELHO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
"RUA OSCAR PINHEIRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"CNI"
"SABOEIRO";"MASCULINO";"Entre 30 a 34 anos";"RJ";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"SABOEIRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"D"
"SABOEIRO";"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"D"
"SANTA CRUZ";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"SANTA CRUZ";"MASCULINO";"Acima de 34 anos";"BA";"DIVORCIADO";"SALVADOR";"ADS";"PUBLICA";"E"
"SANTA CRUZ";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"SANTA CRUZ";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"SANTA MONICA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"SANTA MONICA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"SANTO ANTONIO";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"SANTO ANTONIO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"SAO CAETANO";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SAO CAETANO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"SAO CAETANO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"SAO CRISTOVAO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"SAO CRISTOVAO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SAO CRISTOVAO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"SAO JOAO DO CABRITO";"MASCULINO";"Acima de 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"ADS";"PUBLICA";"E"
"SAO JOAO DO CABRITO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"SAO JOSE";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"NAO INFORMADO";"CNI"
"SAO MARCOS";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"SAO MARCOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"SAO MARCOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"SAO MARCOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SAO MARCOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SEPARADO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"SAO MARCOS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SAO MARCOS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"SAO MARCOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SAO MARCOS";"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"SAO MARCOS";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"SAO MARCOS";"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"SETE DE ABRIL";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SETE DE ABRIL";"FEMININO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"SI";"PUBLICA";"E"
"SIEIRO";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"CNI"
"SIMOES FILHO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"PUBLICA";"CNI"
"STELLA MARIS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"STIEP";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"STIEP";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"C"
"SUSSUARANA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"SUSSUARANA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"SUSSUARANA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"SUSSUARANA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"SUSSUARANA";"FEMININO";"Entre 25 a 29 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"ADS";"PUBLICA";"E"
"SUSSUARANA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"TAPIRAIPE";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"NAO INFORMADO";"CNI"
"TORORO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"TROBOGY";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"TROBOGY";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"TROBOGY";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"TROBOGY";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"URUGUAI";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"URUGUAI";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"VALE DOS LAGOS";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"VALERIA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"VALERIA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"VILA CANARIA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"VILA LAURA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"VILA LAURA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"VILA LAURA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"D"
"VILA RUY BARBOSA/JARDIM CRUZEIRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"VILA RUY BARBOSA/JARDIM CRUZEIRO";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"VILA RUY BARBOSA/JARDIM CRUZEIRO";"FEMININO";"Acima de 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"ADS";"PUBLICA";"E"
"VITORIA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
